site,date_time.x,date_sampled,time_sampled,tag_no,bag_no,gps_id,collected_by,basket_no,date_CBASS,depth_ft,camera_id,note,...13,date_time_min,time,lat,lon,date_time.y,date
mahana,2022-12-11T01:49:00Z,20221210,15:49:00,150,10,Shedd1,RC/FP,96,20221211,NA,NA,NA,NA,2022-12-10 15:49,2022-12-11T01:49:57Z,-17.487862380221486,-149.88528261892495,2022-12-11T01:49:57Z,2022-12-10
mahana,2022-12-11T01:55:00Z,20221210,15:55:00,113,18,Shedd1,RC/FP,170,20221211,NA,NA,NA,NA,2022-12-10 15:55,2022-12-11T01:55:36Z,-17.487637158483267,-149.88535285927358,2022-12-11T01:55:36Z,2022-12-10
mahana,2022-12-11T01:59:00Z,20221210,15:59:00,115,39,Shedd1,RC/FP,44,20221211,NA,NA,NA,NA,2022-12-10 15:59,2022-12-11T01:59:40Z,-17.487497767433524,-149.88539082929492,2022-12-11T01:59:40Z,2022-12-10
mahana,2022-12-11T02:04:00Z,20221210,16:04:00,167,22,Shedd1,RC/FP,24,20221211,NA,NA,NA,NA,2022-12-10 16:04,2022-12-11T02:04:46Z,-17.487524254247546,-149.88508321344852,2022-12-11T02:04:46Z,2022-12-10
mahana,2022-12-11T02:07:00Z,20221210,16:07:00,114,4,Shedd1,RC/FP,136,20221211,NA,NA,NA,NA,2022-12-10 16:07,2022-12-11T02:07:29Z,-17.487504724413157,-149.88501138053834,2022-12-11T02:07:29Z,2022-12-10
mahana,2022-12-11T02:13:00Z,20221210,16:13:00,163,6,Shedd1,RC/FP,153,20221211,NA,NA,NA,NA,2022-12-10 16:13,2022-12-11T02:13:59Z,-17.48753121122718,-149.88465774804357,2022-12-11T02:13:59Z,2022-12-10
mahana,2022-12-11T02:18:00Z,20221210,16:18:00,80,31,Shedd1,RC/FP,250,20221211,NA,NA,NA,NA,2022-12-10 16:18,2022-12-11T02:18:46Z,-17.487759785726666,-149.88431735895574,2022-12-11T02:18:46Z,2022-12-10
mahana,2022-12-11T02:22:00Z,20221210,16:22:00,164,32,Shedd1,RC/FP,204,20221211,NA,NA,NA,NA,2022-12-10 16:22,2022-12-11T02:22:39Z,-17.48798618093133,-149.88416170701385,2022-12-11T02:22:39Z,2022-12-10
mahana,2022-12-11T02:37:00Z,20221210,16:37:00,117,23,Shedd1,RC/FP,88,20221211,NA,NA,NA,NA,2022-12-10 16:37,2022-12-11T02:37:55Z,-17.48875086195767,-149.88399968482554,2022-12-11T02:37:55Z,2022-12-10
mahana,2022-12-13T16:57:00Z,20221213,06:57:00,78,117,Shedd3,RC/FP/RD,93,20221213,NA,NA,NA,NA,2022-12-13 06:57,2022-12-13T16:57:50Z,-17.489661388099194,-149.88472463563085,2022-12-13T16:57:50Z,2022-12-13
mahana,2022-12-13T17:00:00Z,20221213,07:00:00,116,111,Shedd3,RC/FP/RD,61,20221213,NA,NA,NA,NA,2022-12-13 07:00,2022-12-13T17:00:47Z,-17.489344803616405,-149.88484407775104,2022-12-13T17:00:47Z,2022-12-13
mahana,2022-12-13T17:05:00Z,20221213,07:05:00,123,44,Shedd3,RC/FP/RD,26,20221213,NA,NA,NA,NA,2022-12-13 07:05,2022-12-13T17:05:51Z,-17.48911094851792,-149.88505848683417,2022-12-13T17:05:51Z,2022-12-13
mahana,2022-12-13T17:09:00Z,20221213,07:09:00,165,34,Shedd3,RC/FP/RD,45,20221213,NA,NA,NA,NA,2022-12-13 07:09,2022-12-13T17:09:56Z,-17.488866029307246,-149.8851571418345,2022-12-13T17:09:56Z,2022-12-13
mahana,2022-12-13T17:19:00Z,20221213,07:19:00,111,109,Shedd3,RC/FP/RD,171,20221213,NA,NA,NA,NA,2022-12-13 07:19,2022-12-13T17:19:37Z,-17.488375939428806,-149.88508782349527,2022-12-13T17:19:37Z,2022-12-13
mahana,2022-12-13T17:26:00Z,20221213,07:26:00,89,13,Shedd3,RC/FP/RD,29,20221213,NA,NA,NA,NA,2022-12-13 07:26,2022-12-13T17:26:38Z,-17.488154154270887,-149.8851931001991,2022-12-13T17:26:38Z,2022-12-13
mahana,2022-12-13T17:30:00Z,20221213,07:30:00,166,41,Shedd3,RC/FP/RD,49,20221213,NA,NA,NA,NA,2022-12-13 07:30,2022-12-13T17:30:51Z,-17.487947959452868,-149.8851333372295,2022-12-13T17:30:51Z,2022-12-13
mahana,2022-12-13T17:34:00Z,20221213,07:34:00,112,40,Shedd3,RC/FP/RD,24,20221213,NA,NA,NA,NA,2022-12-13 07:34,2022-12-13T17:34:44Z,-17.487647803500295,-149.88496276549995,2022-12-13T17:34:44Z,2022-12-13
mahana,2022-12-13T17:37:00Z,20221213,07:37:00,125,31,Shedd3,RC/FP/RD,141,20221213,NA,NA,NA,NA,2022-12-13 07:37,2022-12-13T17:37:23Z,-17.487570103257895,-149.88497047685087,2022-12-13T17:37:23Z,2022-12-13
mahana,2022-12-13T17:47:00Z,20221213,07:47:00,162,16,Shedd3,RC/FP/RD,66,20221213,NA,NA,NA,NA,2022-12-13 07:47,2022-12-13T17:47:49Z,-17.48759960755706,-149.88400890491903,2022-12-13T17:47:49Z,2022-12-13
mahana,2022-12-13T17:56:00Z,20221213,07:56:00,org45,24,Shedd3,RC/FP/RD,47,20221213,NA,NA,NA,NA,2022-12-13 07:56,2022-12-13T17:56:58Z,-17.48835749924183,-149.88388024270535,2022-12-13T17:56:58Z,2022-12-13
mahana,2022-12-13T18:00:00Z,20221213,08:00:00,org43,3,Shedd3,RC/FP/RD,42,20221213,NA,NA,NA,NA,2022-12-13 08:00,2022-12-13T18:00:40Z,-17.488414831459522,-149.88383196294308,2022-12-13T18:00:40Z,2022-12-13
mahana,2022-12-13T18:03:00Z,20221213,08:03:00,org71,1,Shedd3,RC/FP/RD,50,20221213,NA,NA,NA,NA,2022-12-13 08:03,2022-12-13T18:03:54Z,-17.488441905006766,-149.88382115028799,2022-12-13T18:03:54Z,2022-12-13
mahana,2022-12-13T18:11:00Z,20221213,08:11:00,org75,30,Shedd3,RC/FP/RD,22,20221213,NA,NA,NA,NA,2022-12-13 08:11,2022-12-13T18:11:49Z,-17.48863745480776,-149.88362777978182,2022-12-13T18:11:49Z,2022-12-13
mahana,2022-12-13T18:16:00Z,20221213,08:16:00,org42,39,Shedd3,RC/FP/RD,46,20221213,NA,NA,NA,NA,2022-12-13 08:16,2022-12-13T18:16:42Z,-17.48871624469757,-149.88370707258582,2022-12-13T18:16:42Z,2022-12-13
mahana,2022-12-13T18:21:00Z,20221213,08:21:00,org52,32,Shedd3,RC/FP/RD,153,20221213,NA,NA,NA,NA,2022-12-13 08:21,2022-12-13T18:21:52Z,-17.48884758912027,-149.88374990411103,2022-12-13T18:21:52Z,2022-12-13
mahana,2022-12-13T18:27:00Z,20221213,08:27:00,org58,37,Shedd3,RC/FP/RD,43,20221213,NA,NA,NA,NA,2022-12-13 08:27,2022-12-13T18:27:49Z,-17.489281184971333,-149.88355209119618,2022-12-13T18:27:49Z,2022-12-13
mahana,2022-12-13T18:34:00Z,20221213,08:34:00,org56,101,Shedd3,RC/FP/RD,57,20221213,NA,NA,NA,NA,2022-12-13 08:34,2022-12-13T18:34:42Z,-17.489124611020088,-149.8838611319661,2022-12-13T18:34:42Z,2022-12-13
mahana,2022-12-13T18:43:00Z,20221213,08:43:00,org68,14,Shedd3,RC/FP/RD,95,20221213,NA,NA,NA,NA,2022-12-13 08:43,2022-12-13T18:43:55Z,-17.489806478843093,-149.88424954935908,2022-12-13T18:43:55Z,2022-12-13
mahana,2022-12-13T18:52:00Z,20221213,08:52:00,181,107,Shedd3,RC/FP/RD,51,20221213,NA,NA,NA,NA,2022-12-13 08:52,2022-12-13T18:52:27Z,-17.49006095342338,-149.8844433389604,2022-12-13T18:52:27Z,2022-12-13
mahana,2022-12-13T16:50:00Z,20221213,06:50:00,187,17,Shedd1,SM/HM,99,20221213,NA,NA,NA,NA,2022-12-13 06:50,2022-12-13T16:50:56Z,-17.49037795700133,-149.88468071445823,2022-12-13T16:50:56Z,2022-12-13
mahana,2022-12-13T16:56:00Z,20221213,06:56:00,181,27,Shedd1,SM/HM,88,20221213,NA,NA,NA,NA,2022-12-13 06:56,2022-12-13T16:56:51Z,-17.490100851282477,-149.8845905251801,2022-12-13T16:56:51Z,2022-12-13
mahana,2022-12-13T17:00:00Z,20221213,07:00:00,155,10,Shedd1,SM/HM,20,20221213,NA,NA,NA,NA,2022-12-13 07:00,2022-12-13T17:00:45Z,-17.489677229896188,-149.88461843691766,2022-12-13T17:00:45Z,2022-12-13
mahana,2022-12-13T17:04:00Z,20221213,07:04:00,126,8,Shedd1,SM/HM,230,20221213,NA,NA,NA,NA,2022-12-13 07:04,2022-12-13T17:04:55Z,-17.489625178277493,-149.88456764258444,2022-12-13T17:04:55Z,2022-12-13
mahana,2022-12-13T17:08:00Z,20221213,07:08:00,120,2,Shedd1,SM/HM,250,20221213,NA,NA,NA,NA,2022-12-13 07:08,2022-12-13T17:08:48Z,-17.4894158821553,-149.88461533561352,2022-12-13T17:08:48Z,2022-12-13
mahana,2022-12-13T17:12:00Z,20221213,07:12:00,121,21,Shedd1,SM/HM,134,20221213,NA,NA,NA,NA,2022-12-13 07:12,2022-12-13T17:12:55Z,-17.488936437293887,-149.88439195789394,2022-12-13T17:12:55Z,2022-12-13
mahana,2022-12-13T17:16:00Z,20221213,07:16:00,182,19,Shedd1,SM/HM,204,20221213,NA,NA,NA,NA,2022-12-13 07:16,2022-12-13T17:16:46Z,-17.4888770096004,-149.88424980081618,2022-12-13T17:16:46Z,2022-12-13
mahana,2022-12-13T17:18:00Z,20221213,07:18:00,127,43,Shedd1,SM/HM,170,20221213,NA,NA,NA,NA,2022-12-13 07:18,2022-12-13T17:18:35Z,-17.488924199715257,-149.8842776287347,2022-12-13T17:18:35Z,2022-12-13
mahana,2022-12-13T17:31:00Z,20221213,07:31:00,153,112,Shedd1,SM/HM,21,20221213,NA,NA,NA,NA,2022-12-13 07:31,2022-12-13T17:31:57Z,-17.488410556688905,-149.88438223488632,2022-12-13T17:31:57Z,2022-12-13
mahana,2022-12-13T17:36:00Z,20221213,07:36:00,185,110,Shedd1,SM/HM,55,20221213,NA,NA,NA,NA,2022-12-13 07:36,2022-12-13T17:36:56Z,-17.488303687423468,-149.8845038563013,2022-12-13T17:36:56Z,2022-12-13
mahana,2022-12-13T17:40:00Z,20221213,07:40:00,144,105,Shedd1,SM/HM,30,20221213,NA,NA,NA,NA,2022-12-13 07:40,2022-12-13T17:40:57Z,-17.48812884092331,-149.88464014604688,2022-12-13T17:40:57Z,2022-12-13
mahana,2022-12-13T17:44:00Z,20221213,07:44:00,125,102,Shedd1,SM/HM,177,20221213,NA,NA,NA,NA,2022-12-13 07:44,2022-12-13T17:44:50Z,-17.487460216507316,-149.88482831977308,2022-12-13T17:44:50Z,2022-12-13
mahana,2022-12-13T17:49:00Z,20221213,07:49:00,124,36,Shedd1,SM/HM,87,20221213,NA,NA,NA,NA,2022-12-13 07:49,2022-12-13T17:49:55Z,-17.4872815143317,-149.88479898311198,2022-12-13T17:49:55Z,2022-12-13
mahana,2022-12-13T17:52:00Z,20221213,07:52:00,165,33,Shedd1,SM/HM,136,20221213,NA,NA,NA,NA,2022-12-13 07:52,2022-12-13T17:52:24Z,-17.487507490441203,-149.88461424596608,2022-12-13T17:52:24Z,2022-12-13
mahana,2022-12-13T17:58:00Z,20221213,07:58:00,128,115,Shedd1,SM/HM,16,20221213,NA,NA,NA,NA,2022-12-13 07:58,2022-12-13T17:58:47Z,-17.48771594837308,-149.88427746109664,2022-12-13T17:58:47Z,2022-12-13
mahana,2022-12-13T18:00:00Z,20221213,08:00:00,129,116,Shedd1,SM/HM,107,20221213,NA,NA,NA,NA,2022-12-13 08:00,2022-12-13T18:00:48Z,-17.48773656785488,-149.88420101813972,2022-12-13T18:00:48Z,2022-12-13
mahana,2022-12-13T18:05:00Z,20221213,08:05:00,130,23,Shedd1,SM/HM,85,20221213,NA,NA,NA,NA,2022-12-13 08:05,2022-12-13T18:05:54Z,-17.48786791227758,-149.88412658683956,2022-12-13T18:05:54Z,2022-12-13
mahana,2022-12-13T18:11:00Z,20221213,08:11:00,org33,108,Shedd1,SM/HM,48,20221213,NA,NA,NA,NA,2022-12-13 08:11,2022-12-13T18:11:54Z,-17.488412652164698,-149.8838721960783,2022-12-13T18:11:54Z,2022-12-13
mahana,2022-12-13T18:19:00Z,20221213,08:19:00,org49,26,Shedd1,SM/HM,44,20221213,NA,NA,NA,NA,2022-12-13 08:19,2022-12-13T18:19:58Z,-17.488542152568698,-149.88415617495775,2022-12-13T18:19:58Z,2022-12-13
mahana,2022-12-13T18:27:00Z,20221213,08:27:00,org30,4,Shedd1,SM/HM,35,20221213,NA,NA,NA,NA,2022-12-13 08:27,2022-12-13T18:27:58Z,-17.48896828852594,-149.883945370093,2022-12-13T18:27:58Z,2022-12-13
mahana,2022-12-13T18:39:00Z,20221213,08:39:00,184,106,Shedd1,SM/HM,32,20221213,NA,NA,NA,NA,2022-12-13 08:39,2022-12-13T18:39:35Z,-17.48906208202243,-149.88414687104526,2022-12-13T18:39:35Z,2022-12-13
mahana,2022-12-13T18:43:00Z,20221213,08:43:00,194,18,Shedd1,SM/HM,134,20221213,NA,NA,NA,NA,2022-12-13 08:43,2022-12-13T18:43:33Z,-17.48918630182743,-149.88426740281284,2022-12-13T18:43:33Z,2022-12-13
mahana,2022-12-13T18:47:00Z,20221213,08:47:00,org51,113,Shedd1,SM/HM,40,20221213,NA,NA,NA,NA,2022-12-13 08:47,2022-12-13T18:47:56Z,-17.489290237426758,-149.88439078442752,2022-12-13T18:47:56Z,2022-12-13
access12,2024-10-23T20:11:00Z,20241023,10:11:00,10,10,Shedd4,TC,55,20241024,2,cunning3,NA,NA,2024-10-23 10:11,NA,NA,NA,NA,NA
access14,2024-10-24T00:07:00Z,20241023,14:07:00,1,1,Shedd4,TC,29,20241024,7,cunning3,NA,NA,2024-10-23 14:07,2024-10-24T00:07:49Z,-17.594075510278344,-149.82292000204322,2024-10-24T00:07:49Z,2024-10-23
access14,2024-10-24T00:15:00Z,20241023,14:15:00,19,8,Shedd4,TC,44,20241024,8,cunning3,NA,NA,2024-10-23 14:15,2024-10-24T00:15:40Z,-17.594223115593195,-149.8229360114783,2024-10-24T00:15:40Z,2024-10-23
access12,2024-10-23T20:23:00Z,20241023,10:23:00,59,49,Shedd3,SM,22,20241024,4,SM,NA,NA,2024-10-23 10:23,2024-10-23T20:23:45Z,-17.592535754665732,-149.8333969619125,2024-10-23T20:23:45Z,2024-10-23
access14,2024-10-24T00:30:00Z,20241023,14:30:00,57,60,Shedd3,SM,61,20241024,3,SM,NA,NA,2024-10-23 14:30,2024-10-24T00:30:58Z,-17.594153126701713,-149.82414409518242,2024-10-24T00:30:58Z,2024-10-23
access12,2024-10-23T20:23:00Z,20241023,10:23:00,40,21,Shedd2,RC,87,20241024,3,cunning2,NA,NA,2024-10-23 10:23,2024-10-23T20:23:56Z,-17.592146499082446,-149.83326955698433,2024-10-23T20:23:56Z,2024-10-23
access12,2024-10-23T20:27:00Z,20241023,10:27:00,38,38,Shedd2,RC,66,20241024,3,cunning2,NA,NA,2024-10-23 10:27,2024-10-23T20:27:45Z,-17.5920557230711,-149.83326209709048,2024-10-23T20:27:45Z,2024-10-23
access12,2024-10-23T20:43:00Z,20241023,10:43:00,37,40,Shedd2,RC,95,20241024,2,cunning2,NA,NA,2024-10-23 10:43,2024-10-23T20:43:55Z,-17.592007694765925,-149.8325404152274,2024-10-23T20:43:55Z,2024-10-23
access12,2024-10-23T20:55:00Z,20241023,10:55:00,39,23,Shedd2,RC,22,20241024,2,cunning2,NA,NA,2024-10-23 10:55,2024-10-23T20:55:39Z,-17.59208128787577,-149.83211335726082,2024-10-23T20:55:39Z,2024-10-23
access13,2024-10-25T01:12:00Z,20241024,15:12:00,58,47,Shedd3,SM,61,20241025,4,SM,NA,NA,2024-10-24 15:12,2024-10-25T01:12:53Z,-17.593589024618268,-149.82492838986218,2024-10-25T01:12:53Z,2024-10-24
access13,2024-10-25T01:21:00Z,20241024,15:21:00,56,53,Shedd3,SM,87,20241025,6,SM,NA,NA,2024-10-24 15:21,2024-10-25T01:21:58Z,-17.593912230804563,-149.82508714310825,2024-10-25T01:21:58Z,2024-10-24
access13,2024-10-25T01:39:00Z,20241024,15:39:00,51N,59,Shedd3,SM,22,20241025,7,SM,north side of large thicket with tag 51,NA,2024-10-24 15:39,2024-10-25T01:39:52Z,-17.594274915754795,-149.82522142119706,2024-10-25T01:39:52Z,2024-10-24
access13,2024-10-25T01:30:00Z,20241024,15:30:00,51S,46,Shedd3,SM,66,20241025,7,SM,south side of large thicket with tag 51,NA,2024-10-24 15:30,2024-10-25T01:30:58Z,-17.594238622114062,-149.825250338763,2024-10-25T01:30:58Z,2024-10-24
access13,2024-10-25T01:53:00Z,20241024,15:53:00,53,51,Shedd3,SM,95,20241025,7,SM,NA,NA,2024-10-24 15:53,2024-10-25T01:53:58Z,-17.593945004045963,-149.82585735619068,2024-10-25T01:53:58Z,2024-10-24
access13,2024-10-25T02:02:00Z,20241024,16:02:00,52N,42,Shedd3,SM,44,20241025,6,SM,north side of large thicket with tag 52,NA,2024-10-24 16:02,2024-10-25T02:02:59Z,-17.593962773680687,-149.8261055443436,2024-10-25T02:02:59Z,2024-10-24
access13,2024-10-25T02:05:00Z,20241024,16:05:00,52S,50,Shedd3,SM,55,20241025,6,SM,south side of large thicket with tag 52,NA,2024-10-24 16:05,2024-10-25T02:05:52Z,-17.593964785337448,-149.82611736282706,2024-10-25T02:05:52Z,2024-10-24
access13,2024-10-25T01:28:00Z,20241024,15:28:00,14,9,Shedd4,TC,29,20241025,5,cunning3,same thicket as tag 6,NA,2024-10-24 15:28,2024-10-25T01:28:56Z,-17.593699833378196,-149.8249688744545,2024-10-25T01:28:56Z,2024-10-24
access13,2024-10-25T01:38:00Z,20241024,15:38:00,6,7,Shedd4,TC,171,20241025,5,cunning3,same thicket as tag 14,NA,2024-10-24 15:38,2024-10-25T01:38:55Z,-17.59370100684464,-149.82497239485383,2024-10-25T01:38:55Z,2024-10-24
NNF,2024-10-25T18:20:00Z,20241025,08:20:00,30,39,Shedd2,RC,45,20241025,3,cunning2,same thicket as tag 34,NA,2024-10-25 08:20,2024-10-25T18:20:53Z,-17.520361868664622,-149.7748051956296,2024-10-25T18:20:53Z,2024-10-25
NNF,2024-10-25T18:24:00Z,20241025,08:24:00,34,24,Shedd2,RC,42,20241025,3,cunning2,same thicket as tag 30,NA,2024-10-25 08:24,2024-10-25T18:24:53Z,-17.52028257586062,-149.77478172630072,2024-10-25T18:24:53Z,2024-10-25
NNF,2024-10-25T18:30:00Z,20241025,08:30:00,32,28,Shedd2,RC,73,20241025,3,cunning2,NA,NA,2024-10-25 08:30,2024-10-25T18:30:45Z,-17.520336555317044,-149.77490871213377,2024-10-25T18:30:45Z,2024-10-25
NNF,2024-10-25T18:36:00Z,20241025,08:36:00,33,25,Shedd2,RC,47,20241025,3,cunning2,NA,NA,2024-10-25 08:36,2024-10-25T18:36:55Z,-17.520263800397515,-149.7748979832977,2024-10-25T18:36:55Z,2024-10-25
NNF,2024-10-25T18:44:00Z,20241025,08:44:00,31,37,Shedd2,RC,20,20241025,3,cunning2,NA,NA,2024-10-25 08:44,2024-10-25T18:44:53Z,-17.520348792895675,-149.7750962153077,2024-10-25T18:44:53Z,2024-10-25
NNF,2024-10-25T18:50:00Z,20241025,08:50:00,25,32,Shedd2,RC,93,20241025,3,cunning2,NA,NA,2024-10-25 08:50,2024-10-25T18:50:50Z,-17.520288610830903,-149.7753152344376,2024-10-25T18:50:50Z,2024-10-25
NNF,2024-10-25T18:29:00Z,20241025,08:29:00,3,6,Shedd4,TC,50,20241025,8,cunning3,NA,NA,2024-10-25 08:29,2024-10-25T18:29:53Z,-17.519811261445284,-149.77362116798759,2024-10-25T18:29:53Z,2024-10-25
NNF,2024-10-25T18:53:00Z,20241025,08:53:00,2,5,Shedd4,TC,43,20241025,2,cunning3,NA,NA,2024-10-25 08:53,2024-10-25T18:53:56Z,-17.51988099887967,-149.77370993234217,2024-10-25T18:53:56Z,2024-10-25
NNF,2024-10-25T18:23:00Z,20241025,08:23:00,45,48,Shedd3,SM,85,20241025,1,SM,same thicket as tag 60,NA,2024-10-25 08:23,2024-10-25T18:23:46Z,-17.51888958737254,-149.77279353886843,2024-10-25T18:23:46Z,2024-10-25
NNF,2024-10-25T18:30:00Z,20241025,08:30:00,60,56,Shedd3,SM,46,20241025,1,SM,same thicket as tag 45,NA,2024-10-25 08:30,2024-10-25T18:30:48Z,-17.518922360613942,-149.77284089662135,2024-10-25T18:30:48Z,2024-10-25
NNF,2024-10-25T18:39:00Z,20241025,08:39:00,43,52,Shedd3,SM,30,20241025,1,SM,NA,NA,2024-10-25 08:39,2024-10-25T18:39:54Z,-17.518753465265036,-149.7727345302701,2024-10-25T18:39:54Z,2024-10-25
NNF,2024-10-25T18:46:00Z,20241025,08:46:00,55,45,Shedd3,SM,26,20241025,1,SM,same thicket as tag 54,NA,2024-10-25 08:46,2024-10-25T18:46:46Z,-17.51871851272881,-149.7726935427636,2024-10-25T18:46:46Z,2024-10-25
NNF,2024-10-25T18:52:00Z,20241025,08:52:00,54,55,Shedd3,SM,24,20241025,1,SM,NA,NA,2024-10-25 08:52,2024-10-25T18:52:49Z,-17.518690768629313,-149.77264953777194,2024-10-25T18:52:49Z,2024-10-25
NNF,2024-10-25T19:00:00Z,20241025,09:00:00,46,44,Shedd3,SM,21,20241025,1,SM,same thicket as tag 44,NA,2024-10-25 09:00,2024-10-25T19:00:50Z,-17.518722284585238,-149.77258449420333,2024-10-25T19:00:50Z,2024-10-25
NNF,2024-10-25T19:10:00Z,20241025,09:10:00,44,54,Shedd3,SM,49,20241025,1,SM,same thicket as tag 46,NA,2024-10-25 09:10,2024-10-25T19:10:41Z,-17.518679369241,-149.77261500433087,2024-10-25T19:10:41Z,2024-10-25
NF,2024-10-25T23:42:00Z,20241025,13:42:00,35,30,Shedd2,RC,47,20241026,1,cunning2,same thicket as tag 21,NA,2024-10-25 13:42,2024-10-25T23:42:57Z,-17.5184634514153,-149.77201242931187,2024-10-25T23:42:57Z,2024-10-25
NF,2024-10-25T23:50:00Z,20241025,13:50:00,21,31,Shedd2,RC,24,20241026,1,cunning2,same thicket as tag 35,NA,2024-10-25 13:50,2024-10-25T23:50:56Z,-17.518440736457705,-149.771944032982,2024-10-25T23:50:56Z,2024-10-25
NF,2024-10-26T00:01:00Z,20241025,14:01:00,22,22,Shedd2,RC,93,20241026,1,cunning2,NA,NA,2024-10-25 14:01,2024-10-26T00:01:54Z,-17.518402598798275,-149.7718364931643,2024-10-26T00:01:54Z,2024-10-25
NF,2024-10-26T00:07:00Z,20241025,14:07:00,36,29,Shedd2,RC,46,20241026,1,cunning2,NA,NA,2024-10-25 14:07,2024-10-26T00:07:50Z,-17.518320623785257,-149.77177631109953,2024-10-26T00:07:50Z,2024-10-25
NF,2024-10-26T00:13:00Z,20241025,14:13:00,23,26,Shedd2,RC,20,20241026,1,cunning2,NA,NA,2024-10-25 14:13,2024-10-26T00:13:53Z,-17.518259519711137,-149.77173850871623,2024-10-26T00:13:53Z,2024-10-25
NF,2024-10-26T00:18:00Z,20241025,14:18:00,24,27,Shedd2,RC,73,20241026,1,cunning2,NA,NA,2024-10-25 14:18,2024-10-26T00:18:58Z,-17.518286760896444,-149.77157321758568,2024-10-26T00:18:58Z,2024-10-25
NF,2024-10-26T00:30:00Z,20241025,14:30:00,26,33,Shedd2,RC,42,20241026,1,cunning2,NA,NA,2024-10-25 14:30,2024-10-26T00:30:58Z,-17.517924830317497,-149.7713380213827,2024-10-26T00:30:58Z,2024-10-25
NF,2024-10-26T00:37:00Z,20241025,14:37:00,27,34,Shedd2,RC,43,20241026,2,cunning2,NA,NA,2024-10-25 14:37,2024-10-26T00:37:39Z,-17.517822654917836,-149.77119619958103,2024-10-26T00:37:39Z,2024-10-25
NF,2024-10-25T23:39:00Z,20241025,13:39:00,5,18,Shedd4,TC,44,20241026,1,cunning3,same thicket as tag 10 and tag 9,NA,2024-10-25 13:39,2024-10-25T23:39:49Z,-17.518576188012958,-149.7723016049713,2024-10-25T23:39:49Z,2024-10-25
NF,2024-10-25T23:48:00Z,20241025,13:48:00,10,3,Shedd4,TC,50,20241026,1,cunning3,same thicket as tag 5 and tag 9,NA,2024-10-25 13:48,2024-10-25T23:48:43Z,-17.51854266040027,-149.77227528579533,2024-10-25T23:48:43Z,2024-10-25
NF,2024-10-25T23:54:00Z,20241025,13:54:00,9,4,Shedd4,TC,21,20241026,1,cunning3,same thicket as tag 5 and tag 10; eastern side,NA,2024-10-25 13:54,2024-10-25T23:54:51Z,-17.518510557711124,-149.772287607193,2024-10-25T23:54:51Z,2024-10-25
NF,2024-10-26T00:12:00Z,20241025,14:12:00,4,2,Shedd4,TC,85,20241026,1,cunning3,same thicket as tag 15,NA,2024-10-25 14:12,2024-10-26T00:12:56Z,-17.518206126987934,-149.77164790034294,2024-10-26T00:12:56Z,2024-10-25
NF,2024-10-26T00:17:00Z,20241025,14:17:00,15,12,Shedd4,TC,49,20241026,1,cunning3,same thicket as tag 4,NA,2024-10-25 14:17,2024-10-26T00:17:46Z,-17.518203193321824,-149.7716485708952,2024-10-26T00:17:46Z,2024-10-25
NF,2024-10-26T00:31:00Z,20241025,14:31:00,16,20,Shedd4,TC,45,20241026,1,cunning3,NA,NA,2024-10-25 14:31,2024-10-26T00:31:47Z,-17.517914520576596,-149.77113501168787,2024-10-26T00:31:47Z,2024-10-25
NF,2024-10-26T00:41:00Z,20241025,14:41:00,7,19,Shedd4,TC,61,20241026,1,cunning3,NA,NA,2024-10-25 14:41,2024-10-26T00:41:54Z,-17.517821732908487,-149.7710874862969,2024-10-26T00:41:54Z,2024-10-25
NF,2024-10-26T00:50:00Z,20241025,14:50:00,11,11,Shedd4,TC,171,20241026,1,cunning3,NA,NA,2024-10-25 14:50,2024-10-26T00:50:43Z,-17.517707236111164,-149.7710248734802,2024-10-26T00:50:43Z,2024-10-25
MooreaFunDive,2024-10-26T22:24:00Z,20241026,12:24:00,20,10,Shedd3,SM,29,20241027,3,SM,NA,NA,2024-10-26 12:24,2024-10-26T22:24:59Z,-17.503515081480145,-149.91663889959457,2024-10-26T22:24:59Z,2024-10-26
MooreaFunDive,2024-10-26T22:33:00Z,20241026,12:33:00,71,42,Shedd3,SM,20,20241027,3,SM,**all one monster thicket,NA,2024-10-26 12:33,2024-10-26T22:33:46Z,-17.503733346238732,-149.91685330867767,2024-10-26T22:33:46Z,2024-10-26
MooreaFunDive,2024-10-26T22:38:00Z,20241026,12:38:00,72,47,Shedd3,SM,85,20241027,3,SM,NA,NA,2024-10-26 12:38,2024-10-26T22:38:44Z,-17.503793444484472,-149.91679052822292,2024-10-26T22:38:44Z,2024-10-26
MooreaFunDive,2024-10-26T22:45:00Z,20241026,12:45:00,49,38,Shedd3,SM,73,20241027,3,SM,NA,NA,2024-10-26 12:45,2024-10-26T22:45:50Z,-17.503769639879465,-149.91668650880456,2024-10-26T22:45:50Z,2024-10-26
MooreaFunDive,2024-10-26T22:51:00Z,20241026,12:51:00,48,55,Shedd3,SM,49,20241027,2,SM,NA,NA,2024-10-26 12:51,2024-10-26T22:51:37Z,-17.50372974202037,-149.91658550687131,2024-10-26T22:51:37Z,2024-10-26
MooreaFunDive,2024-10-26T22:58:00Z,20241026,12:58:00,50,6,Shedd3,SM,45,20241027,2,SM,NA,NA,2024-10-26 12:58,2024-10-26T22:58:50Z,-17.50383728183806,-149.9167212098837,2024-10-26T22:58:50Z,2024-10-26
