date,rack_config,position,basket_no
20221204,A,1,20
20221204,A,2,2
20221204,A,3,18
20221204,A,4,19
20221204,A,5,16
20221204,A,6,15
20221204,B,1,10
20221204,B,2,3
20221204,B,3,17
20221204,B,4,7
20221204,B,5,13
20221204,B,6,8
20221204,C,1,1
20221204,C,2,4
20221204,C,3,12
20221204,C,4,5
20221204,C,5,6
20221204,C,6,11
20221204,C,7,14
20221204,C,8,9
20221205,A,1,93
20221205,A,2,85
20221205,A,3,66
20221205,A,4,49
20221205,A,5,32
20221205,A,6,40
20221205,A,7,42
20221205,A,8,43
20221205,B,1,95
20221205,B,2,88
20221205,B,3,96
20221205,B,4,54
20221205,B,5,79
20221205,B,6,87
20221205,B,7,47
20221205,B,8,51
20221205,C,1,37
20221205,C,2,55
20221205,C,3,57
20221205,C,4,50
20221205,C,5,26
20221205,C,6,22
20221205,C,7,44
20221205,C,8,29
20221205,D,1,99
20221205,D,2,45
20221205,D,3,48
20221205,D,4,24
20221205,D,5,30
20221205,D,6,61
20221205,D,7,46
20221205,D,8,72
20221205,E,1,16
20221205,E,2,35
20221205,E,3,23
20221205,E,4,73
20221205,E,5,52
20221205,E,6,20
20221205,E,7,21
20221206,A,1,85
20221206,A,2,79
20221206,A,3,96
20221206,A,4,95
20221206,A,5,47
20221206,A,6,42
20221206,A,7,88
20221206,A,8,44
20221206,B,1,32
20221206,B,2,26
20221206,B,3,87
20221206,B,4,50
20221206,B,5,55
20221206,B,6,93
20221206,B,7,43
20221206,B,8,51
20221206,C,1,66
20221206,C,2,40
20221206,C,3,22
20221206,C,4,54
20221206,C,5,57
20221206,C,6,37
